"Date","Region","Industry","UOM","Employment"
"2015-02","Newfoundland and Labrador","Trade [41-45N]","Persons",37201
"2015-02","Newfoundland and Labrador","Wholesale trade [41]","Persons",6692
"2015-02","Newfoundland and Labrador","Retail trade [44-45]","Persons",30509
"2015-02","Newfoundland and Labrador","Transportation and warehousing [48-49]","Persons",11249
"2015-02","Newfoundland and Labrador","Information and cultural industries [51]","Persons",4797
"2015-02","Newfoundland and Labrador","Finance and insurance [52]","Persons",6923
"2015-02","Newfoundland and Labrador","Real estate and rental and leasing [53]","Persons",2615
"2015-02","Newfoundland and Labrador","Professional, scientific and technical services [54]","Persons",7888
"2015-02","Newfoundland and Labrador","Management of companies and enterprises [55]","Persons",1183
"2015-02","Newfoundland and Labrador","Administrative and support, waste management and remediation services [56]","Persons",6545
"2015-02","Newfoundland and Labrador","Educational services [61]","Persons",20484
"2015-02","Newfoundland and Labrador","Health care and social assistance [62]","Persons",32569
"2015-02","Newfoundland and Labrador","Arts, entertainment and recreation [71]","Persons",1907
"2015-02","Newfoundland and Labrador","Accommodation and food services [72]","Persons",15559
"2015-02","Newfoundland and Labrador","Other services (except public administration) [81]","Persons",6798
"2015-02","Newfoundland and Labrador","Public administration [91]","Persons",17960
"2015-02","Prince Edward Island","Industrial aggregate including unclassified businesses [00-91N]","Persons",62067
"2015-02","Prince Edward Island","Industrial aggregate excluding unclassified businesses [11-91N]","Persons",61424
"2015-02","Prince Edward Island","Goods producing industries [11-33N]","Persons",8472
"2015-02","Prince Edward Island","Construction [23]","Persons",3349
"2015-02","Prince Edward Island","Manufacturing [31-33]","Persons",4630
"2015-02","Prince Edward Island","Service producing industries [41-91N]","Persons",52952
"2015-02","Prince Edward Island","Trade [41-45N]","Persons",10745
"2015-02","Prince Edward Island","Wholesale trade [41]","Persons",2108
"2015-02","Prince Edward Island","Retail trade [44-45]","Persons",8637
"2015-02","Prince Edward Island","Transportation and warehousing [48-49]","Persons",2611
"2015-02","Prince Edward Island","Information and cultural industries [51]","Persons",1035
"2015-02","Prince Edward Island","Finance and insurance [52]","Persons",1847
"2015-02","Prince Edward Island","Real estate and rental and leasing [53]","Persons",730
"2015-02","Prince Edward Island","Professional, scientific and technical services [54]","Persons",1906
"2015-02","Prince Edward Island","Management of companies and enterprises [55]","Persons",331
"2015-02","Prince Edward Island","Administrative and support, waste management and remediation services [56]","Persons",3807
"2015-02","Prince Edward Island","Educational services [61]","Persons",4889
"2015-02","Prince Edward Island","Health care and social assistance [62]","Persons",9006
"2015-02","Prince Edward Island","Arts, entertainment and recreation [71]","Persons",1006
"2015-02","Prince Edward Island","Accommodation and food services [72]","Persons",5704
"2015-02","Prince Edward Island","Other services (except public administration) [81]","Persons",1934
"2015-02","Prince Edward Island","Public administration [91]","Persons",7401
"2015-02","Nova Scotia","Industrial aggregate including unclassified businesses [00-91N]","Persons",401415
"2015-02","Nova Scotia","Industrial aggregate excluding unclassified businesses [11-91N]","Persons",397514
"2015-02","Nova Scotia","Goods producing industries [11-33N]","Persons",57673
"2015-02","Nova Scotia","Construction [23]","Persons",22501
"2015-02","Nova Scotia","Manufacturing [31-33]","Persons",29785
"2015-02","Nova Scotia","Service producing industries [41-91N]","Persons",339841
"2015-02","Nova Scotia","Trade [41-45N]","Persons",69741
"2015-02","Nova Scotia","Wholesale trade [41]","Persons",14564
"2015-02","Nova Scotia","Retail trade [44-45]","Persons",55177
"2015-02","Nova Scotia","Transportation and warehousing [48-49]","Persons",17376
"2015-02","Nova Scotia","Information and cultural industries [51]","Persons",9163
"2015-02","Nova Scotia","Finance and insurance [52]","Persons",19014
